Movie Name,Rating,Votes,Duration,Genre
Dune: Part Two,8.5,610K,2h 46m,Action
Venom: The Last Dance,6.0,105K,1h 50m,Action
Gladiator II,6.6,213K,2h 28m,Action
Sonic the Hedgehog 3,6.9,51K,1h 50m,Action
The Lord of the Rings: The War of the Rohirrim,6.3,27K,2h 14m,Action
William Tell,5.7,1.4K,2h 13m,Action
Kraven the Hunter,5.4,42K,2h 7m,Action
Pushpa: The Rule - Part 2,6.1,53K,3h 21m,Action
Furiosa: A Mad Max Saga,7.5,278K,2h 28m,Action
Elevation,5.6,19K,1h 31m,Action
Borderlands,4.7,44K,1h 41m,Action
Deadpool & Wolverine,7.6,478K,2h 8m,Action
The Ministry of Ungentlemanly Warfare,6.8,131K,2h 2m,Action
Civil War,7.0,231K,1h 49m,Action
The Count of Monte-Cristo,7.6,32K,2h 58m,Action
Twisters,6.5,159K,2h 2m,Action
Carry-On,6.5,158K,1h 59m,Action
The Crow,4.7,32K,1h 51m,Action
Marco,7.0,19K,2h 25m,Action
The Fall Guy,6.8,215K,2h 6m,Action
The Beekeeper,6.3,152K,1h 45m,Action
Kingdom of the Planet of the Apes,6.9,149K,2h 25m,Action
Madame Web,4.0,99K,1h 56m,Action
Homestead,5.4,3.2K,1h 52m,Action
Rebel Ridge,6.8,85K,2h 11m,Action
Red One,6.3,137K,2h 3m,Action
Thelma,7.0,21K,1h 38m,Action
Hellboy: The Crooked Man,4.5,12K,1h 39m,Action
Old Guy,5.1,1.5K,1h 34m,Action
Road House,6.2,165K,2h 1m,Action
Transformers One,7.6,47K,1h 44m,Action
Attack on Titan the Movie: The Last Attack,9.3,14K,2h 25m,Action
Bad Boys: Ride or Die,6.5,98K,1h 55m,Action
Argylle,5.6,91K,2h 19m,Action
Damsel,6.1,108K,1h 50m,Action
Solo Leveling: ReAwakening,8.7,6K,2h 1m,Action
Monkey Man,6.8,90K,2h 1m,Action
Love Lies Bleeding,6.6,55K,1h 44m,Action
Aftermath,5.1,3.3K,1h 37m,Action
Godzilla x Kong: The New Empire,6.1,119K,1h 55m,Action
Baby John,5.4,17K,2h 39m,Action
The Union,5.4,52K,1h 47m,Action
Freaky Tales,6.5,362,1h 46m,Action
Land of Bad,6.6,50K,1h 53m,Action
The Killer's Game,5.7,16K,1h 44m,Action
Absolution,5.2,7.3K,1h 52m,Action
