Movie Name,Rating,Votes,Duration,Genre
Dune: Part Two,8.5,610000,166,Action
Venom: The Last Dance,6.0,105000,110,Action
Gladiator II,6.6,213000,148,Action
Sonic the Hedgehog 3,6.9,51000,110,Action
The Lord of the Rings: The War of the Rohirrim,6.3,27000,134,Action
William Tell,5.7,1400,133,Action
Kraven the Hunter,5.4,42000,127,Action
Pushpa: The Rule - Part 2,6.1,53000,201,Action
Furiosa: A Mad Max Saga,7.5,278000,148,Action
Elevation,5.6,19000,91,Action
Borderlands,4.7,44000,101,Action
Deadpool & Wolverine,7.6,478000,128,Action
The Ministry of Ungentlemanly Warfare,6.8,131000,122,Action
Civil War,7.0,231000,109,Action
The Count of Monte-Cristo,7.6,32000,178,Action
Twisters,6.5,159000,122,Action
Carry-On,6.5,158000,119,Action
The Crow,4.7,32000,111,Action
Marco,7.0,19000,145,Action
The Fall Guy,6.8,215000,126,Action
The Beekeeper,6.3,152000,105,Action
Kingdom of the Planet of the Apes,6.9,149000,145,Action
Madame Web,4.0,99000,116,Action
Homestead,5.4,3200,112,Action
Rebel Ridge,6.8,85000,131,Action
Red One,6.3,137000,123,Action
Thelma,7.0,21000,98,Action
Hellboy: The Crooked Man,4.5,12000,99,Action
Old Guy,5.1,1500,94,Action
Road House,6.2,165000,121,Action
Transformers One,7.6,47000,104,Action
Attack on Titan the Movie: The Last Attack,9.3,14000,145,Action
Bad Boys: Ride or Die,6.5,98000,115,Action
Argylle,5.6,91000,139,Action
Damsel,6.1,108000,110,Action
Solo Leveling: ReAwakening,8.7,6000,121,Action
Monkey Man,6.8,90000,121,Action
Love Lies Bleeding,6.6,55000,104,Action
Aftermath,5.1,3300,97,Action
Godzilla x Kong: The New Empire,6.1,119000,115,Action
Baby John,5.4,17000,159,Action
The Union,5.4,52000,107,Action
Freaky Tales,6.5,362,106,Action
Land of Bad,6.6,50000,113,Action
The Killer's Game,5.7,16000,104,Action
Absolution,5.2,7300,112,Action
Azrael,5.4,10000,86,Action
Drive-Away Dolls,5.4,23000,84,Action
Uglies,4.7,32000,100,Action
Blitz,6.2,15000,120,Action
Arcadian,5.5,22000,92,Action
Werewolves,4.4,5900,93,Action
Kung Fu Panda 4,6.3,66000,94,Action
Descendants: The Rise of Red,4.7,6900,91,Action
The Killer,5.7,12000,126,Action
Lift,5.5,49000,107,Action
Beverly Hills Cop: Axel F,6.4,80000,118,Action
The Instigators,6.2,37000,101,Action
Weekend in Taipei,5.7,4300,100,Action
Apocalypse Z: The Beginning of the End,6.1,19000,117,Action
Brothers,5.4,13000,89,Action
Maharaja,8.4,65000,141,Action
11 Rebels,6.2,229,155,Action
Hagen,6.1,946,139,Action
Canary Black,5.4,11000,101,Action
Watchmen: Chapter I,7.0,6200,83,Action
Atlas,5.6,55000,118,Action
Long Gone Heroes,5.2,938,101,Action
The Silent Hour,6.1,6900,99,Action
Kalki 2898 AD,7.0,66000,180,Action
Dirty Angels,4.3,3100,104,Action
Hitpig,5.1,811,86,Action
The Shadow Strays,6.5,8800,144,Action
Classified,3.7,2200,105,Action
Survive,4.6,2000,90,Action
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,Action
Cash Out,4.8,2800,92,Action
Jackpot!,5.8,30000,106,Action
Dominique,5.2,2100,100,Action
Twilight of the Warriors: Walled In,7.0,8800,126,Action
Trigger Warning,4.6,19000,106,Action
Under Paris,5.2,36000,104,Action
Gunner,3.2,2300,106,Action
No Way Up,4.6,10000,90,Action
Boneyard,4.1,4800,96,Action
Watchmen: Chapter II,7.0,2700,90,Action
Death Whisperer 2,6.4,1200,110,Action
Armor,3.5,3600,89,Action
Megamind vs. The Doom Syndicate,2.5,5400,83,Action
Night Call,6.8,1700,97,Action
Aavesham,7.8,27000,155,Action
Panda Plan,5.1,1100,99,Action
Agents,3.8,866,82,Action
Red Right Hand,5.5,5700,111,Action
Damaged,4.7,7100,97,Action
Levels,5.0,1400,93,Action
River of Blood,5.4,1500,86,Action
Role Play,5.5,19000,100,Action
Max,7.2,3200,132,Action
Take Cover,5.1,2300,90,Action
Harbin,6.6,464,108,Action
Amaran,8.2,18000,167,Action
Chief of Station,4.7,4300,97,Action
My Hero Academia: You're Next,7.0,1900,110,Action
Trouble,6.2,6600,98,Action
My Spy: The Eternal City,5.7,11000,112,Action
Sunray: Fallen Soldier,4.3,574,115,Action
Joe Baby,8.2,24,86,Action
Uprising,6.6,5300,126,Action
Elyas,6.1,1200,105,Action
Dark Match,5.5,811,94,Action
The Thundermans Return,5.0,1800,70,Action
Mafia Wars,3.4,210,94,Action
Code 8: Part II,5.7,16000,100,Action
The Fix,4.6,1100,98,Action
Singham Again,4.8,75000,144,Action
Rifle Club,7.0,3900,113,Action
Simarik,6.4,2300,111,Action
Hounds of War,4.5,1700,95,Action
Sikandar Ka Muqaddar,6.0,24000,142,Action
Drive Back,4.7,286,94,Action
Rats!,8.2,74,85,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8300,93,Action
Prey,3.7,3200,86,Action
Badland Hunters,5.9,12000,107,Action
The Lost Tiger,7.8,31,90,Action
The Courier,6.0,4300,101,Action
The Roundup: Punishment,6.6,5000,109,Action
Raayan,6.5,11000,145,Action
Darkness of Man,4.8,3100,109,Action
Cells at Work!,6.8,155,109,Action
Officer Black Belt,6.8,7900,108,Action
The Prosecutor,6.8,1300,117,Action
Duchess,4.6,1200,114,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4300,94,Action
The Price of Money: A Largo Winch Adventure,5.1,1000,100,Action
The Wages of Fear,4.6,4000,104,Action
Bougainvillea,6.4,3000,138,Action
The Quiet Ones,6.5,501,110,Action
Pani,6.9,2700,143,Action
The Tiger's Apprentice,5.8,2100,84,Action
Arena Wars,5.0,2000,96,Action
Devara Part 1,6.0,20000,176,Action
Karma,8.1,1400,167,Action
City Hunter,6.3,5500,102,Action
"I, the Executioner",6.3,1500,118,Action
One Fast Move,5.0,2200,108,Action
One More Shot,5.4,3500,103,Action
Golden Kamuy,6.3,2500,127,Action
Utopia,3.7,332,91,Action
Cloud,6.3,882,123,Action
Fight Another Day,5.1,320,97,Action
Article 370,7.8,24000,158,Action
Air Force One Down,4.4,2800,84,Action
Lights Out,4.9,1700,90,Action
Ultraman: Rising,6.9,6200,117,Action
200% Wolf,6.0,1200,98,Action
Fighter,6.2,52000,166,Action
Life After Fighting,6.4,1900,126,Action
Continental Split,3.5,531,88,Action
Die Hart 2: Die Harter,4.3,5400,92,Action
The Family Star,5.4,5400,159,Action
Zero,6.1,37,88,Action
Angels Fallen: Warriors of Peace,4.9,5800,103,Action
Latency,4.2,1700,94,Action
Kill Em All 2,4.1,1300,88,Action
Echo 8,5.5,155,96,Action
Agent Recon,2.4,656,85,Action
Dan Da Dan: First Encounter,8.2,2500,83,Action
Murder Company,3.6,1500,86,Action
Ferry 2,5.6,3700,94,Action
Operation Blood Hunt,3.4,452,93,Action
Freedom,5.9,1300,110,Action
Get Fast,3.6,432,88,Action
Hijack 1971,6.8,3200,100,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2,642,174,Action
Anaconda,4.9,599,84,Action
Alien: Rubicon,2.4,327,86,Action
A Legend,4.7,852,129,Action
Alangu,8.3,1100,131,Action
Wynonna Earp: Vengeance,5.6,1500,96,Action
Jigra,6.0,23000,153,Action
Striking Rescue,5.8,314,106,Action
Diabel,5.1,190,108,Action
The Clean Up Crew,4.1,1100,95,Action
The Hangman,3.3,983,92,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5,5200,94,Action
Invasion,4.8,662,91,Action
Savi,6.2,35000,126,Action
Spiders on a Plane,5.9,358,78,Action
Agni,7.3,15000,122,Action
Revolver,5.4,814,114,Action
Terminator: Skynet Rising,6.8,257,88,Action
Hanu Man,7.7,29000,158,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8200,104,Action
Sixty Minutes,5.7,5100,88,Action
Escape,6.4,1900,94,Action
The Last Kumite,4.6,2300,105,Action
London Calling,6.5,8,109,Action
Outlaw,5.2,897,82,Action
The Greatest of All Time,5.8,22000,183,Action
Overlord: The Sacred Kingdom,7.0,693,135,Action
72 Hours,4.1,279,87,Action
Cassino in Ischia,4.4,229,113,Action
Vettaiyan,7.0,39000,163,Action
Baby Invasion,5.4,51,80,Action
Heart of the Hunter,4.7,2100,105,Action
Alienoid: The Return to the Future,6.5,2500,122,Action
Handsome Guys,6.5,735,101,Action
Snow White and the Seven Samurai,3.2,259,88,Action
Operation Undead,4.6,346,110,Action
Wanted Man,4.8,2500,85,Action
Razakar: The Silent Genocide of Hyderabad,7.4,5200,166,Action
"Love, Courage and the Battle of Bushy Run",5.0,168,113,Action
Bagheera,6.7,7200,158,Action
Kingdom 4: Return of the Great General,7.1,1200,145,Action
The Lockdown,4.3,593,117,Action
War of the Worlds: Extinction,3.0,170,84,Action
Ryan's World the Movie: Titan Universe Adventure,1.8,629,80,Action
Viduthalai Part 2,8.0,15000,170,Action
GTMax,5.0,1200,100,Action
Yodha,5.7,8800,130,Action
The Last Front,5.5,596,98,Action
Mura,7.3,6200,129,Action
The Last Ronin,4.9,217,121,Action
Vanvaas,6.7,994,160,Action
Nice Girls,4.2,1200,92,Action
The Ballad of Davy Crockett,4.6,242,96,Action
12 Gaun,6.3,862,147,Action
Saripodhaa Sanivaaram,7.0,8800,166,Action
Chandu Champion,7.8,34000,142,Action
Don't Mess with Grandma,6.1,141,81,Action
Everybody Loves Jenifa,8.4,77,135,Action
Thangalaan,6.6,6500,156,Action
Kanguva,4.6,14000,152,Action
