Name,Genre,Duration,Rating,Vote Count
Moana 2,Adventure,100,6.7,88000
Flow,Adventure,85,7.9,59000
Gladiator II,Adventure,148,6.5,217000
Sonic the Hedgehog 3,Adventure,110,6.9,53000
Venom: The Last Dance,Adventure,110,6.0,108000
Dune: Part Two,Adventure,166,8.5,613000
Mufasa: The Lion King,Adventure,118,6.6,48000
The Lord of the Rings: The War of the Rohirrim,Adventure,134,6.3,28000
Furiosa: A Mad Max Saga,Adventure,148,7.5,280000
Deadpool & Wolverine,Adventure,128,7.6,480000
The Day the Earth Blew Up: A Looney Tunes Movie,Adventure,91,7.0,2100
Borderlands,Adventure,101,4.7,45000
Paddington in Peru,Adventure,106,6.7,17000
Night of the Zoopocalypse,Adventure,91,6.3,333
Twisters,Adventure,122,6.5,160000
Civil War,Adventure,109,7.0,232000
Despicable Me 4,Adventure,94,6.2,63000
The Count of Monte-Cristo,Adventure,178,7.6,32000
Inside Out 2,Adventure,96,7.5,211000
Kingdom of the Planet of the Apes,Adventure,145,6.9,149000
Red One,Adventure,123,6.3,137000
Transformers One,Adventure,104,7.6,47000
Solo Leveling: ReAwakening,Adventure,121,8.7,7000
Bad Boys: Ride or Die,Adventure,115,6.5,98000
Love Lies Bleeding,Adventure,104,6.6,56000
Damsel,Adventure,110,6.1,108000
Ghostbusters: Frozen Empire,Adventure,115,6.1,92000
The Return,Adventure,116,6.2,7500
Madame Web,Adventure,116,4.0,99000
Godzilla x Kong: The New Empire,Adventure,115,6.1,119000
Freaky Tales,Adventure,106,6.4,371
Wallace & Gromit: Vengeance Most Fowl,Adventure,82,7.5,33000
Harold and the Purple Crayon,Adventure,90,5.7,7900
Attack on Titan the Movie: The Last Attack,Adventure,145,9.3,14000
Spaceman,Adventure,107,5.7,42000
Uglies,Adventure,100,4.7,32000
Kung Fu Panda 4,Adventure,94,6.3,67000
The Garfield Movie,Adventure,101,5.7,24000
Hitpig,Adventure,86,5.0,836
Kalki 2898 AD,Adventure,180,7.0,66000
Descendants: The Rise of Red,Adventure,91,4.7,6900
The Empire,Adventure,110,5.2,1200
Atlas,Adventure,118,5.6,55000
Survive,Adventure,90,4.6,2100
Rebel Moon - Part Two: The Scargiver,Adventure,122,5.3,59000
Spellbound,Adventure,109,5.7,6300
Arthur the King,Adventure,107,7.0,34000
Winner,Adventure,103,6.5,2300
Monster Summer,Adventure,97,5.7,3500
Saving Bikini Bottom: The Sandy Cheeks Movie,Adventure,82,3.7,3700
My Penguin Friend,Adventure,97,6.7,4700
Family Pack,Adventure,94,5.5,8700
Lost on a Mountain in Maine,Adventure,98,6.2,1100
No Way Up,Adventure,90,4.6,10000
The Unholy Trinity,Adventure,93,7.9,49
Bookworm,Adventure,103,6.0,1800
Megamind vs. The Doom Syndicate,Adventure,83,2.5,5500
The Goat Life,Adventure,173,7.1,47000
Orion and the Dark,Adventure,93,6.3,17000
The Best Christmas Pageant Ever,Adventure,99,6.8,6000
Something in the Water,Adventure,86,4.1,4500
Sasquatch Sunset,Adventure,88,5.4,5300
A Sloth Story,Adventure,90,5.6,179
"I, the Executioner",Adventure,118,6.3,1600
My Hero Academia: You're Next,Adventure,110,7.0,1900
Justice League: Crisis on Infinite Earths - Part One,Adventure,93,6.2,8300
River of Blood,Adventure,86,5.4,1600
That Christmas,Adventure,91,6.8,17000
Thelma the Unicorn,Adventure,93,5.7,2900
Badland Hunters,Adventure,107,5.9,12000
The Courier,Adventure,101,6.0,4300
Justice League: Crisis on Infinite Earths - Part Three,Adventure,94,6.1,4300
The Tiger's Apprentice,Adventure,84,5.7,2100
The Lost Tiger,Adventure,90,7.9,36
The Price of Money: A Largo Winch Adventure,Adventure,100,5.1,1100
No Chains No Masters,Adventure,98,6.4,480
Guest from the Future,Adventure,141,6.0,1200
200% Wolf,Adventure,98,6.0,1300
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Adventure,104,7.1,8300
The Wages of Fear,Adventure,104,4.6,4000
Unspeakable: Beyond the Wall of Sleep,Adventure,90,5.9,38
Operation Blood Hunt,Adventure,93,3.4,456
Ultraman: Rising,Adventure,117,6.9,6200
Angels Fallen: Warriors of Peace,Adventure,103,4.9,5800
Cult Killer,Adventure,105,4.8,2700
Doraemon the Movie: Nobita's Earth Symphony,Adventure,115,6.6,1400
Golden Kamuy,Adventure,127,6.3,2500
Autumn and the Black Jaguar,Adventure,100,5.6,964
Manjummel Boys,Adventure,135,8.2,27000
Woody Woodpecker Goes to Camp,Adventure,100,4.5,2500
Justice League: Crisis on Infinite Earths - Part Two,Adventure,94,5.5,5200
WWII: Operation Phoenix,Adventure,106,6.6,63
Anaconda,Adventure,84,4.9,603
My Fathers' Daughter,Adventure,78,6.6,71
Buffalo Kids,Adventure,93,6.6,640
Hanu Man,Adventure,158,7.7,29000
Dragonkeeper,Adventure,98,5.7,1600
The Forest,Adventure,77,6.5,20
The Firing Squad,Adventure,93,5.4,5000
Sixty Minutes,Adventure,88,5.7,5100
Escape,Adventure,94,6.4,1900
The Last Redemption,Adventure,122,6.7,3400
Crayon Shin-chan: Ora's Dinosaur Diary,Adventure,106,6.5,313
My Freaky Family,Adventure,86,6.4,388
Meanwhile on Earth,Adventure,89,6.0,871
Spiders on a Plane,Adventure,78,5.7,360
Bambi: A Tale of Life in the Woods,Adventure,85,5.7,150
A Legend,Adventure,129,4.7,858
Man and Witch: The Dance of a Thousand Steps,Adventure,94,5.5,327
Kanguva,Adventure,152,4.5,14000
Cells at Work!,Adventure,109,6.8,169
The Slave and the Sorcerer,Adventure,86,6.7,37
Saint-Exupéry,Adventure,98,5.5,237
Storm Crashers,Adventure,88,6.3,550
Dalia y el Libro Rojo,Adventure,107,6.5,52
Overlord: The Sacred Kingdom,Adventure,135,7.0,701
Roadkill,Adventure,90,3.6,672
Rebellious,Adventure,94,6.0,161
A.R.M,Adventure,150,7.1,8500
Robin and the Hoods,Adventure,100,4.4,504
Eat the Night,Adventure,106,6.2,416
War of the Worlds: Extinction,Adventure,84,3.0,179
The Last Ronin,Adventure,121,4.9,227
Devil's Knight,Adventure,90,5.4,780
Thangalaan,Adventure,156,6.6,6500
