Name,Genre,Duration,Rating,Vote Count
Moana 2,animation,100,6.7,88000
Flow,animation,85,7.9,59000
The Wild Robot,animation,102,8.2,152000
Mufasa: The Lion King,animation,118,6.6,48000
The Lord of the Rings: The War of the Rohirrim,animation,134,6.3,28000
The Day the Earth Blew Up: A Looney Tunes Movie,animation,91,7.0,2100
Night of the Zoopocalypse,animation,91,6.3,333
Despicable Me 4,animation,94,6.2,63000
Inside Out 2,animation,96,7.5,211000
Transformers One,animation,104,7.6,47000
Memoir of a Snail,animation,95,7.8,15000
Solo Leveling: ReAwakening,animation,121,8.7,7000
IF,animation,104,6.4,57000
Spermageddon,animation,80,5.7,610
Wallace & Gromit: Vengeance Most Fowl,animation,82,7.5,33000
Harold and the Purple Crayon,animation,90,5.7,7900
Attack on Titan the Movie: The Last Attack,animation,145,9.3,14000
Kung Fu Panda 4,animation,94,6.3,67000
The Garfield Movie,animation,101,5.7,24000
Hitpig,animation,86,5.0,836
Watchmen: Chapter I,animation,83,7.0,6300
Spellbound,animation,109,5.7,6300
Look Back,animation,58,7.8,14000
Grand Theft Hamlet,animation,89,6.9,1600
Saving Bikini Bottom: The Sandy Cheeks Movie,animation,82,3.7,3700
Piece by Piece,animation,93,6.9,5100
Watchmen: Chapter II,animation,90,7.0,2800
Megamind vs. The Doom Syndicate,animation,83,2.5,5500
The Remarkable Life of Ibelin,animation,103,8.2,12000
Orion and the Dark,animation,93,6.3,17000
A Sloth Story,animation,90,5.6,179
My Hero Academia: You're Next,animation,110,7.0,1900
Justice League: Crisis on Infinite Earths - Part One,animation,93,6.2,8300
The Most Precious of Cargoes,animation,81,7.1,726
That Christmas,animation,91,6.8,17000
Thelma the Unicorn,animation,93,5.7,2900
Justice League: Crisis on Infinite Earths - Part Three,animation,94,6.1,4300
The Tiger's Apprentice,animation,84,5.7,2100
The Lost Tiger,animation,90,7.9,36
200% Wolf,animation,98,6.0,1300
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,animation,104,7.1,8300
Ultraman: Rising,animation,117,6.9,6200
10 Lives,animation,88,5.9,1800
Doraemon the Movie: Nobita's Earth Symphony,animation,115,6.6,1400
Frida,animation,87,7.5,1500
Woody Woodpecker Goes to Camp,animation,100,4.5,2500
Mars,animation,84,8.9,19
Dan Da Dan: First Encounter,animation,83,8.2,2600
Justice League: Crisis on Infinite Earths - Part Two,animation,94,5.5,5200
Buffalo Kids,animation,93,6.6,640
Dragonkeeper,animation,98,5.7,1600
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',animation,90,8.7,988
Crayon Shin-chan: Ora's Dinosaur Diary,animation,106,6.5,313
My Freaky Family,animation,86,6.4,388
Limonov: The Ballad of Eddie,animation,138,6.0,734
The Glassworker,animation,98,7.5,1500
The Colors Within,animation,101,7.2,817
Johnny Puff: Secret Mission,animation,87,4.8,433
Ghost Cat Anzu,animation,97,6.5,704
From Ground Zero,animation,112,7.9,495
Storm Crashers,animation,88,6.3,550
Dalia y el Libro Rojo,animation,107,6.5,52
Overlord: The Sacred Kingdom,animation,135,7.0,701
Rebellious,animation,94,6.0,161
Savages,animation,87,7.0,273
Haikyu!! The Dumpster Battle,animation,85,7.7,6000
The Night Before Christmas in Wonderland,animation,80,6.3,509
Mononoke the Movie: The Phantom in the Rain,animation,89,6.8,1200
Lesbian Space Princess,animation,87,8.1,96
Blue Lock: Episode Nagi,animation,91,6.6,2400
Super-Charlie,animation,80,6.3,104
Ryan's World the Movie: Titan Universe Adventure,animation,80,1.8,650
My Oni Girl,animation,112,6.0,1700
Shrek 5: The Contract - A Fan Made Film,animation,84,7.0,18
White Snake: Afloat,animation,133,6.9,434
Fox & Hare Save the Forest,animation,71,5.9,192
Noah's Ark,animation,96,4.3,624
No Time to Spy: A Loud House Movie,animation,81,6.4,435
The Quintessential Quintuplets Specials 2,animation,46,7.1,112
Panda Bear in Africa,animation,84,5.5,308
Boys Go to Jupiter,animation,90,6.9,88
Xiong Shi Shao Nian 2,animation,134,7.5,186
Mobile Suit Gundam SEED Freedom,animation,124,6.6,925
Given 3: To the Sea,animation,80,8.0,9
Baki Hanma VS Kengan Ashura,animation,62,5.7,1900
Uma Musume: Pretty Derby - Beginning of a New Era,animation,108,7.4,110
Zak & Wowo: The Legend of Lendarys,animation,85,5.7,86
Detective Conan: The Million-Dollar Pentagram,animation,111,6.8,1400
Exorcism Chronicles: The Beginning,animation,85,7.0,68
Rafadan Tayfa: Kapadokya,animation,84,6.7,111
Gracie and Pedro: Pets to the Rescue,animation,87,5.1,259
SuperKlaus,animation,88,4.3,192
Schirkoa: In Lies We Trust,animation,103,5.6,153
The Casagrandes Movie,animation,89,5.6,652
Heartsping : Teenieping of Love,animation,0,6.9,21
Diplodocus,animation,90,6.4,159
Jon Vardar protiv Galaksijata,animation,86,8.9,60
The Big Trip 3: Race Around the World,animation,85,5.7,50
Big City Greens the Movie: Spacecation,animation,0,6.2,531
"Maya, donne-moi un titre",animation,61,6.4,47
Little Emma,animation,106,5.7,102
Elli and the Ghostly Ghost Train,animation,86,5.0,89
Mariposas Negras,animation,83,7.0,46
Bocchi the Rock! Re:,animation,90,7.5,142
Sabbath Queen,animation,105,8.0,59
Out of the Nest,animation,84,7.5,102
Fureru,animation,107,6.4,23
Peppa's Cinema Party,animation,65,5.0,153
Dead Dead Demon's Dededede Destruction,animation,120,7.0,137
Movie Given Hiiragi Mix.,animation,70,7.4,137
Living Large,animation,80,7.8,100
Captain Avispa,animation,96,5.8,172
Nie Xiaoqian,animation,112,6.4,16
Kvitebjørn,animation,85,5.9,52
"Die Heinzels: Neue Mützen, Neue Mission",animation,76,6.5,71
Dragon Ball Z Kai,animation,82,8.4,65
Kizumonogatari: Koyomi Vamp,animation,144,6.9,80
Slocum et moi,animation,75,7.4,64
Dongeng Sang Kancil,animation,99,8.3,80
Hola Frida,animation,82,7.3,21
Angelo dans la forêt mystérieuse,animation,81,6.0,106
The Storm,animation,102,6.1,135
Il segreto di Liberato,animation,90,7.3,211
Luntik. Vozvrashchenie domoy,animation,0,6.4,73
Bocchi the Rock! Re: Re:,animation,77,7.9,87
Sanatorium Under the Sign of the Hourglass,animation,75,5.3,90
"Robotia, the Movie",animation,86,8.1,20
PAPmusic - Animation for Fashion,animation,85,1.0,126
Niko: Beyond the Northern Lights,animation,86,6.3,302
Yumi's Cells: The Movie,animation,93,6.2,48
Rock Bottom,animation,86,7.0,39
Quo Vadis,animation,90,6.7,330
The Proud Princess,animation,84,7.1,99
Tri kota. Zimnie kanikuly,animation,65,6.1,27
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,animation,71,7.2,27
Fuuto PI: Portrait of Kamen Rider Skull,animation,82,7.5,30
Rocky and Bullwinkle,animation,100,9.7,11
Si Juki the Movie: Harta Pulau Monyet,animation,107,6.0,114
Into the Mortal World,animation,118,6.8,138
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,animation,90,6.8,14
TWST: Things We Said Today,animation,86,6.9,43
Transformers: 40th Anniversary Event,animation,96,7.2,28
Goldbeak,animation,94,4.9,126
"Silex and the City, le film",animation,77,4.9,47
Askepote,animation,72,3.5,80
Appu,animation,92,8.6,181
Masha i Medved v kino: Park chudes,animation,58,7.0,16
Steal the Naughty List,animation,90,6.7,113
Rocket Club: Across the Cosmos,animation,68,8.2,18
Mustafa,animation,75,6.9,73
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,animation,70,7.4,71
The Worlds Divide,animation,120,8.0,36
Norbert,animation,75,6.7,10
Maxxie LaWow: Drag Super-shero,animation,114,8.9,54
Flavors of Iraq,animation,95,8.1,37
Benjamin Bat,animation,75,8.1,28
Double Tuckerr,animation,120,5.0,1200
Olivia & the Clouds,animation,81,7.2,44
Trapezium,animation,102,6.4,133
Pui Pui Molcar the Movie: Molmax,animation,69,7.0,7
Boonie Bears: Time Twist,animation,105,6.0,162
Dikkie Dik en de Verdwenen Knuffel,animation,62,7.2,125
Kuramerukagari,animation,61,5.8,79
Dead Dead Demon's Dededede Destruction Zenpen,animation,120,7.0,136
The Greatest Surf Movie in the Universe,animation,81,5.4,8
Meitantei Conan Bâsasu Kaitô Kiddo,animation,81,6.2,152
Hello My Beautiful Creatures,animation,142,6.8,169
Max Beyond,animation,93,6.6,17
Animal Tales of Christmas Magic,animation,72,6.8,50
A Few Moments of Cheers,animation,68,7.4,24
The Umbrella Fairy,animation,95,5.5,48
Sunburnt Unicorn,animation,81,7.4,9
Motu Patlu & The Race to the Diamond Valley,animation,72,7.8,27
Tay 2: Ebabil Takimi,animation,78,5.5,35
Mobile Suit Gundam: Silver Phantom,animation,90,6.1,13
Code Geass: Rozé of the Recapture - Part 1,animation,74,7.9,39
Formula vody,animation,86,4.3,27
Nothing Unusual,animation,92,9.7,12
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,animation,59,6.6,8
Riki Rhino: The Bird Kingdom,animation,109,5.0,22
Uma & Haggen: Mitos,animation,94,7.4,44
Motu Patlu & The Rise of Zombies,animation,74,6.6,15
Lilla spöket Laban spökar igen,animation,44,6.1,23
Tobias and the Arcane Merchant,animation,167,9.0,42
Inanimate Insanity II: The Movie,animation,106,8.3,226
Tri bogatyrya. Ni dnya bez podviga,animation,61,5.7,62
Bloody Escape,animation,100,6.1,25
Luv You Shankar,animation,120,5.8,43
Arne Alligator och djungelkompisarna,animation,61,4.6,48
The Ballad of Straw Hat Sam,animation,45,9.2,10
Ya Boy Kongming! Road to Summer Sonia,animation,119,7.5,38
Ugly Sweater,animation,80,7.1,13
The Car Acrobatic Team Saga,animation,112,8.0,9
Code Geass: Rozé of the Recapture: Part 2,animation,76,8.1,24
Astra,animation,80,6.8,8
Bob a Bobek ve filmu: Na stope Mrkvojeda,animation,80,8.7,18
The Delegator,animation,96,4.2,17
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,animation,50,7.0,9
Turbozavry. God drakona,animation,48,9.2,42
Bizarros Peixes das Fossas Abissais,animation,75,8.4,8
Velký Pán,animation,73,7.0,8
Terra Incognita 1901,animation,78,9.2,13
Abá e Sua Banda,animation,84,8.0,6
Let's Go! Anpanman: Baikinman and Lulun,animation,64,6.5,7
2475 Dawn of Revolution,animation,127,6.3,152
Skazochnyy patrul. Shou prodolzhayetsya,animation,65,7.2,11
Code Geass: Rozé of the Recapture: Part 3,animation,76,7.7,22
Pleasant Goat and Big Big Wolf: The World Guardians,animation,96,7.0,11
"Hey, Tete",animation,151,6.4,9
Zuzubalândia: O Filme,animation,60,5.6,10
Babaee-ye Ghahreman,animation,80,8.5,36
